"tipo_doc_suspensiva";"instrumento";"cod_saci";"proposta";"operacao";"recebedor";"uf";"municipio_beneficiado";"unidade_caixa";"programa";"valor_repasse";"situacao_da_analise";"doc_titularidade";"doc_viabilidade_terreno";"doc_sondagem";"doc_orcamento";"doc_projetos_implantacao";"doc_projetos_complementares";"doc_ambiental";"doc_vigilancia_sanitaria";"doc_bombeiros";"doc_trabalho_social";"dt_atualizacao";"consta_base_pc32"
"Documentos apresentados";"983101";"";"385542025";"1104438";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"RIBEIRAO DAS NEVES";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"983610";"1-2140963";"560262025";"1104428";"MUNICIPIO DE SAO RAIMUNDO NONATO - PI";"PI";"SAO RAIMUNDO NONATO";"GIGOV/TE";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"47000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983103";"";"385532025";"1104437";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"MONTES CLAROS";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"984854";"1-2140729";"559452025";"1104652";"MUNICIPIO DE CONTAGEM - MG";"MG";"CONTAGEM";"GIGOV/BH";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"80231383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983090";"";"385582025";"1104442";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"IPATINGA";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"985486";"1-2138797";"553302025";"1104618";"MUNICIPIO DE MURIAE - MG";"MG";"MURIAE";"GIGOV/JF";"novo pac - contenção de encostas";"26365149.49";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983094";"";"385632025";"1104447";"MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA";"MG";"FRUTAL";"GIGOV/BH";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2558383.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"985478";"1-2139026";"553502025";"1104622";"MUNICIPIO DE SAO LUIS - MA";"MA";"SAO LUIS";"GIGOV/SL";"novo pac - contenção de encostas";"1695952.35";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983600";"1-2137947";"559542025";"1104421";"MUNICIPIO DE BELFORD ROXO - RJ";"RJ";"BELFORD ROXO";"GIGOV/RJ";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"30000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983601";"1-2137079";"560282025";"1104429";"MUNICIPIO DE CRATO - CE";"CE";"CRATO";"REGOV/JN";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"10022528.47";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
