"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_saci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"derivado_regra";"972549";"1-2015928";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"972549";"1-2015928";"dias_homologacao_ate_vrpl_calc";"";"16"
"alterado";"dados_e_derivados";"dados_origem";"973220";"1-2036747";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Cancelado ou Distratado"
"alterado";"dados_e_derivados";"derivado_tempo";"973220";"1-2036747";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"973220";"1-2036747";"motivo_suspensiva_retirada_dmp";"";"Não se aplica"
"alterado";"dados_e_derivados";"dados_origem";"973930";"1-2015053";"dte_aio_tdb";"";"2026-06-18"
"alterado";"dados_e_derivados";"dados_origem";"973930";"1-2015053";"dte_inicio_obra_mcid_saci";"";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"973930";"1-2015053";"ultima_data_relevante_calc";"2026-05-28";"2026-06-18"
"alterado";"dados_e_derivados";"derivado_regra";"973930";"1-2015053";"fase_atual_calc";"VRPL";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"973930";"1-2015053";"dias_vrpl_ate_aio_calc";"";"21"
"alterado";"dados_e_derivados";"derivado_regra";"973930";"1-2015053";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"973930";"1-2015053";"prazo_inicio_obra_calc";"";"2026-07-02"
"alterado";"dados_e_derivados";"derivado_tempo";"973930";"1-2015053";"status_inicio_obra_calc";"";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"973945";"1-2031032";"dsc_situacao_contrato_mcid_saci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"973945";"1-2031032";"dte_retirada_suspensiva_tgov";"";"2026-06-19"
